ID;Name;Year Published;Min Players;Max Players;Play Time;Min Age;Users Rated;Rating Average;BGG Rank;Complexity Average;Owned Users;Mechanics;Domains
1;Senet;-3500;2;2;30;6;664;5,82;8176;1,48;1343;Dice Rolling;Abstract Games
1;Senet;-3500;2;2;30;6;664;5,82;8176;1,48;1343;Roll / Spin and Move;Abstract Games
2;Marbles;-3000;1;0;10;4;473;4,69;20221;1,10;399;Flicking;Children's Games
3;Backgammon;-3000;2;2;30;8;11680;6,54;1276;2,02;17747;Advantage Token;Abstract Games
3;Backgammon;-3000;2;2;30;8;11680;6,54;1276;2,02;17747;Betting and Bluffing;Abstract Games
3;Backgammon;-3000;2;2;30;8;11680;6,54;1276;2,02;17747;Dice Rolling;Abstract Games
3;Backgammon;-3000;2;2;30;8;11680;6,54;1276;2,02;17747;Roll / Spin and Move;Abstract Games
3;Backgammon;-3000;2;2;30;8;11680;6,54;1276;2,02;17747;Track Movement;Abstract Games
4;The Royal Game of Ur;-2600;2;2;30;10;549;5,90;8926;1,31;1162;Dice Rolling;Abstract Games
4;The Royal Game of Ur;-2600;2;2;30;10;549;5,90;8926;1,31;1162;Roll / Spin and Move;Abstract Games
4;The Royal Game of Ur;-2600;2;2;30;10;549;5,90;8926;1,31;1162;Square Grid;Abstract Games
4;The Royal Game of Ur;-2600;2;2;30;10;549;5,90;8926;1,31;1162;Static Capture;Abstract Games
5;Go;-2200;2;2;180;8;14843;7,64;173;4,00;20398;Enclosure;Abstract Games
5;Go;-2200;2;2;180;8;14843;7,64;173;4,00;20398;Square Grid;Abstract Games
6;Nine Men's Morris;-1400;2;2;20;6;1310;5,36;20004;1,84;1642;Pattern Building;Abstract Games
6;Nine Men's Morris;-1400;2;2;20;6;1310;5,36;20004;1,84;1642;Point to Point Movement;Abstract Games
7;Three Men's Morris;-1400;2;2;5;5;60;4,31;19650;1,25;60;Pattern Building;Abstract Games
7;Three Men's Morris;-1400;2;2;5;5;60;4,31;19650;1,25;60;Point to Point Movement;Abstract Games
8;Tic-Tac-Toe;-1300;2;2;1;4;3275;2,68;20344;1,16;1374;Paper-and-Pencil;Abstract Games, Children's Games
8;Tic-Tac-Toe;-1300;2;2;1;4;3275;2,68;20344;1,16;1374;Pattern Building;Abstract Games, Children's Games
9;Chutes and Ladders;-200;2;6;30;3;3783;2,86;20343;1,02;4400;Dice Rolling;Children's Games
9;Chutes and Ladders;-200;2;6;30;3;3783;2,86;20343;1,02;4400;Grid Movement;Children's Games
9;Chutes and Ladders;-200;2;6;30;3;3783;2,86;20343;1,02;4400;Race;Children's Games
9;Chutes and Ladders;-200;2;6;30;3;3783;2,86;20343;1,02;4400;Roll / Spin and Move;Children's Games
9;Chutes and Ladders;-200;2;6;30;3;3783;2,86;20343;1,02;4400;Square Grid;Children's Games
10;Petteia;-100;2;2;20;5;51;6,01;15136;2,17;93;Action Queue;Abstract Games
10;Petteia;-100;2;2;20;5;51;6,01;15136;2,17;93;Area Majority / Influence;Abstract Games
11;Lu Zhan Jun Qi;0;2;2;20;10;129;6,11;11933;2,22;152;Point to Point Movement;Wargames
11;Lu Zhan Jun Qi;0;2;2;20;10;129;6,11;11933;2,22;152;Secret Unit Deployment;Wargames
12;BrainBox: World;0;1;0;10;8;65;5,42;18147;1,75;199;Memory;Children's Games
12;BrainBox: World;0;1;0;10;8;65;5,42;18147;1,75;199;Roll / Spin and Move;Children's Games
13;Golf;0;2;6;45;7;256;5,44;18337;1,38;139;Memory;Abstract Games, Family Games
14;Durak;0;2;6;15;0;256;6,44;6577;1,56;144;Hand Management;Party Games
14;Durak;0;2;6;15;0;256;6,44;6577;1,56;144;Memory;Party Games
14;Durak;0;2;6;15;0;256;6,44;6577;1,56;144;Single Loser Game;Party Games
14;Durak;0;2;6;15;0;256;6,44;6577;1,56;144;Take That;Party Games
15;3D Tic Tac Toe;0;2;2;10;0;38;4,81;18555;1;53;Pattern Building;Abstract Games
15;3D Tic Tac Toe;0;2;2;10;0;38;4,81;18555;1;53;Pattern Recognition;Abstract Games
16;Truco;0;2;6;15;10;134;7,27;6397;1,93;128;Betting and Bluffing;Abstract Games
16;Truco;0;2;6;15;10;134;7,27;6397;1,93;128;Hand Management;Abstract Games
16;Truco;0;2;6;15;10;134;7,27;6397;1,93;128;Team-Based Game;Abstract Games
16;Truco;0;2;6;15;10;134;7,27;6397;1,93;128;Trick-taking;Abstract Games
17;Riichi Mahjong;0;4;4;120;8;306;8,36;2995;3,33;334;Betting and Bluffing;Abstract Games, Family Games
17;Riichi Mahjong;0;4;4;120;8;306;8,36;2995;3,33;334;Hand Management;Abstract Games, Family Games
17;Riichi Mahjong;0;4;4;120;8;306;8,36;2995;3,33;334;Set Collection;Abstract Games, Family Games
18;Pop to the Shops;0;2;4;0;5;34;4,18;19078;0;54;Roll / Spin and Move;Children's Games
18;Pop to the Shops;0;2;4;0;5;34;4,18;19078;0;54;Set Collection;Children's Games
19;Big Two;0;2;4;30;10;277;6,61;5374;1,76;161;Hand Management;Family Games, Strategy Games
19;Big Two;0;2;4;30;10;277;6,61;5374;1,76;161;Ladder Climbing;Family Games, Strategy Games
19;Big Two;0;2;4;30;10;277;6,61;5374;1,76;161;Trick-taking;Family Games, Strategy Games
20;Picture Dominoes;0;2;4;10;0;87;4,76;19480;1;316;Hand Management;Abstract Games, Children's Games
20;Picture Dominoes;0;2;4;10;0;87;4,76;19480;1;316;Pattern Building;Abstract Games, Children's Games
20;Picture Dominoes;0;2;4;10;0;87;4,76;19480;1;316;Pattern Recognition;Abstract Games, Children's Games
20;Picture Dominoes;0;2;4;10;0;87;4,76;19480;1;316;Tile Placement;Abstract Games, Children's Games
21;3D Action Snakes and Ladders;0;2;4;10;5;36;3,68;19558;1;75;Roll / Spin and Move;Children's Games
22;Carrom;0;2;4;60;6;1600;7,04;1489;1,48;1787;Flicking;Family Games
22;Carrom;0;2;4;60;6;1600;7,04;1489;1,48;1787;Team-Based Game;Family Games
23;Koi-Koi;0;2;4;30;0;373;6,67;4696;1,62;384;Hand Management;Abstract Games, Family Games
23;Koi-Koi;0;2;4;30;0;373;6,67;4696;1,62;384;Push Your Luck;Abstract Games, Family Games
23;Koi-Koi;0;2;4;30;0;373;6,67;4696;1,62;384;Set Collection;Abstract Games, Family Games
24;Surakarta;0;2;2;30;6;106;5,98;13320;1,57;200;Point to Point Movement;Abstract Games
25;Cheat;0;3;10;10;8;307;5,12;19989;1,12;135;Memory;Family Games
26;Sinaí;0;2;2;45;12;71;6,27;13079;1,40;99;Dice Rolling;Wargames
26;Sinaí;0;2;2;45;12;71;6,27;13079;1,40;99;Hexagon Grid;Wargames
27;Dobble Free Demo Version;0;2;8;5;6;744;6,46;4198;1,03;1239;Pattern Recognition;Children's Games, Family Games
28;Celebrities;0;4;30;90;0;271;7,21;4092;1,19;95;Acting;Party Games
28;Celebrities;0;4;30;90;0;271;7,21;4092;1,19;95;Memory;Party Games
28;Celebrities;0;4;30;90;0;271;7,21;4092;1,19;95;Paper-and-Pencil;Party Games
28;Celebrities;0;4;30;90;0;271;7,21;4092;1,19;95;Team-Based Game;Party Games
29;Changgi;0;2;2;60;8;108;7,09;7632;3,40;164;Grid Movement;Abstract Games
30;Brandubh;0;2;2;20;0;37;6,73;12626;3,40;66;Enclosure;Abstract Games
30;Brandubh;0;2;2;20;0;37;6,73;12626;3,40;66;Grid Movement;Abstract Games
30;Brandubh;0;2;2;20;0;37;6,73;12626;3,40;66;Variable Player Powers;Abstract Games
31;Bao;0;2;2;40;0;112;6,76;8343;3,60;223;Mancala;Abstract Games
32;Balancing Moon;0;1;4;10;3;36;5,51;17244;1;42;Dice Rolling;Children's Games
33;Tridom;0;2;6;60;0;46;6,07;14339;1;112;Tile Placement;Abstract Games
34;Paradux;0;2;2;20;6;33;6,24;14439;2,25;82;Pattern Building;Abstract Games
35;Makruk;0;2;2;60;8;48;6,79;11503;3,78;82;Grid Movement;Abstract Games
36;Kircholm 1605;0;2;2;0;12;60;6,68;11115;3,54;100;Hexagon Grid;Wargames
37;Eat Poop You Cat;0;3;99;20;0;1589;7,45;1044;1,11;803;Paper-and-Pencil;Party Games
38;Kropki;0;2;2;30;8;41;6,16;14991;2,60;21;Enclosure;Abstract Games
38;Kropki;0;2;2;30;8;41;6,16;14991;2,60;21;Paper-and-Pencil;Abstract Games
39;Yoté;0;2;2;10;7;43;5,87;15854;1,60;130;Grid Movement;Abstract Games
40;Twelve Men's Morris;0;2;2;20;8;61;5,78;16165;2,29;74;Pattern Building;Abstract Games
40;Twelve Men's Morris;0;2;2;20;8;61;5,78;16165;2,29;74;Point to Point Movement;Abstract Games
41;Mao;0;2;20;60;13;350;5,67;14113;2;171;Hand Management;Party Games
41;Mao;0;2;20;60;13;350;5,67;14113;2;171;Induction;Party Games
41;Mao;0;2;20;60;13;350;5,67;14113;2;171;Memory;Party Games
41;Mao;0;2;20;60;13;350;5,67;14113;2;171;Pattern Recognition;Party Games
42;Jungle;0;2;2;20;6;301;5,96;9711;1,83;561;Grid Movement;Abstract Games
42;Jungle;0;2;2;20;6;301;5,96;9711;1,83;561;Rock-Paper-Scissors;Abstract Games
42;Jungle;0;2;2;20;6;301;5,96;9711;1,83;561;Square Grid;Abstract Games
42;Jungle;0;2;2;20;6;301;5,96;9711;1,83;561;Static Capture;Abstract Games
